 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";3475;6650;4016;3988;4232;3630;6908;6987;6962;6202;6226;5979;5891;6608;6950;6857;7343;7032;6950;6792;6739;7134;7401;7121;7496;7139;7089;7526;7511;6770;7125;7184;7451;7019;6730;6528;6986;6721;7115;7263;7253;6961;6953;7437;7887;6881;6929;6218;7031;6677;6855;7294;7568;7450;7112;6746;6349;6441;6095;5598;6872;7417;8294;8324;7691;7695;7429;7851;7827;8297;8165;7734;8432;7939;8004;8697;9223;8502;8446;8353;8266;8147;8142;8272;8117;7395;7610;7581;8049;7788;8098;7536;7448;7236;7280;7156;7286;7598;8142;8660;8075;8434;8110;7805;7569;7185;7136;7295;7945;7242;8206;8625;7879;7802;7887;7607;7073;7482;7619;7802;7833;8308;8460;8167;8915;7985;7801;8433;7629;8434;7599;7740;8048;7787;8242;8482;9222;8664;8640;8273;8320;8196;8540;8138;9516;7818;8027;6347;6491;5443;6761;5361;1124858
"12 Acre";973;1204;1953;2010;1745;2357;2381;2154;2400;2155;2076;1994;2493;2258;2264;2485;2443;2252;2169;2194;-;2373;1888;2253;2403;1735;2393;2254;2118;1911;1695;1800;2119;1974;2097;1920;1923;1971;2017;2001;2076;2181;2057;2020;1955;2189;2557;1965;2337;1999;2484;2636;2710;2766;2632;2746;2342;2737;2932;2613;2596;2673;2654;2925;2362;2202;2412;2458;2415;2493;2440;2865;2928;2475;2695;2479;2730;2489;2512;2414;2447;2613;2389;2328;2439;2390;2718;2076;2264;2319;2115;2112;2285;2339;1965;2129;1823;2249;2279;2177;2329;2342;2142;2176;2149;2158;1961;2150;2106;1979;2118;1752;2038;1701;1937;2077;2005;2096;2347;2123;2489;1872;1990;2305;1818;2209;2236;2368;2495;2491;2302;1762;1951;1950;2345;1936;2397;2807;2499;2365;2229;2536;1894;2036;2181;2636;2248;1850;1675;1850;1984;-;334804
"13 Amazonas";5963;9495;10294;10157;9244;10074;10490;11346;10689;10044;8559;8657;8122;7600;10969;9901;9745;9167;9562;9781;10313;9965;9335;9025;10059;9491;9821;10493;9769;10500;10016;8917;8493;10762;10166;10430;10805;9939;10760;11550;11156;11467;12622;11002;10569;10534;9898;11486;10203;10672;11562;11319;11742;11889;11817;10986;11437;11565;11355;9754;11705;11149;11187;11891;11757;12265;12320;11938;11109;11365;10829;10887;11584;9837;9976;9445;11176;9344;9093;9576;9942;10518;10281;9614;10332;10000;9982;10352;11464;11789;12559;11262;11424;11130;11103;10381;10762;11659;11608;10860;11520;11879;11248;11697;11880;10407;10452;9963;11166;10346;12282;12128;12172;12087;12441;11875;12322;12145;11234;11188;11769;11810;12278;12449;12795;12044;12805;12402;12418;12962;12102;12099;13767;12386;13530;12842;13956;12653;14116;13392;14040;13724;13163;12277;13552;12714;13742;11514;12684;13209;12454;10058;1687096
"14 Roraima";1157;1430;1338;1442;1537;1505;1719;1687;1418;1868;1897;1806;1909;1625;1809;1962;2500;2072;2137;2482;2612;1814;2222;1793;1901;1677;2460;2588;2524;2495;2341;2068;2206;2198;2148;1573;1597;1691;2007;2029;1519;1704;1872;2127;2162;2052;2346;2723;2102;2505;2671;2762;2924;2644;2466;2440;2313;1923;2197;2069;2078;2200;2664;2602;3101;3049;3390;3063;2661;2486;2644;1983;2727;2685;2564;2149;2535;2355;2523;2271;2105;2161;2531;1491;2483;2715;2522;2860;2496;2343;2767;3153;2972;2831;2456;2149;2554;2098;2729;3107;3199;3242;3517;3304;3323;3315;3388;2901;2941;2645;3201;3557;3229;3433;3339;3521;3267;3458;3234;3310;3520;3545;3298;3180;3220;3379;3470;3511;3167;3563;3475;3478;3058;2844;2636;2803;2633;3344;3866;4494;4111;3866;3473;3116;3341;3259;3119;2848;2685;2630;2565;2889;394728
"15 Pará";32625;34607;38148;37876;41438;40573;42385;40874;41430;41000;37691;36994;37839;37507;40278;39621;39562;38562;42595;41705;41968;41600;38618;39666;39945;39935;41364;39362;41329;39813;39257;39261;40315;39516;38751;38249;40117;38741;39304;39114;36393;39411;36439;35996;38837;38118;37624;36821;39141;37943;39353;39515;39960;38480;37320;30180;37837;36575;35356;35656;36719;38179;39270;38600;38705;37895;37125;36470;36863;37535;36355;36718;36119;36491;38331;38411;38430;38980;37760;38327;38957;37460;37981;35856;36087;35527;36362;37222;37147;36891;36340;37316;35784;35721;33672;33751;34756;37771;35445;36101;35513;34754;35041;36877;35640;35932;33132;32943;34846;35459;35529;35970;36668;36961;35904;36220;38539;38091;36136;35912;36192;35909;37361;37856;37793;37512;36736;37261;37384;37242;36272;34927;34815;35700;36293;37861;38279;36969;33312;34399;36957;36890;36285;35730;35599;36532;34955;28113;27410;29664;27215;27872;5645282
"16 Amapá";1603;1940;1802;1482;1020;2171;2245;1960;2347;2684;2154;1947;2401;2630;2531;2771;2338;2258;2305;2229;2305;2345;2331;2392;2469;2343;2214;2206;2176;2097;2060;2185;2559;2445;2387;2509;2217;2167;1717;2130;2503;2203;2199;2436;2300;2302;2375;2334;2233;2144;2276;2385;2628;2463;2333;2502;2416;2476;2517;2406;2563;2031;2069;2371;2546;2324;2435;2440;2513;2531;2330;2343;2442;2281;2287;2428;2682;1715;2656;2491;2510;2474;2252;2424;2217;1789;2069;2303;2214;2420;2259;2128;2418;2336;2160;2253;2053;2021;1928;2143;2156;2190;2260;2177;2155;2093;2003;2111;2130;2039;2065;1989;2311;2240;2136;2187;2389;2230;2168;1845;1969;2149;2218;2065;1771;2355;2029;2681;2901;2940;2613;2503;2657;2696;2695;2670;2769;2363;2664;2629;2456;2522;2494;2363;2444;2408;1865;1602;1751;2053;2674;2589;346784
"17 Tocantins";5809;6627;8194;7524;7474;7241;7662;7401;7709;7184;7308;6731;7130;7716;7636;7549;7788;7843;7445;7510;7563;7572;7372;6920;7725;7614;7921;7984;8118;7958;7982;7866;7826;7667;7782;7231;8103;8078;8182;8524;8583;8437;8017;7382;7558;7786;8370;8691;8698;8363;8826;8551;8322;8474;7740;7815;7412;7418;6808;6780;7085;7544;8351;8238;8276;8178;7193;7994;7484;8048;7371;7246;7855;7549;7892;7504;7586;7171;7372;8151;8025;8072;7306;6275;6653;6276;6667;7317;6282;6592;6598;6126;5564;5637;5737;4680;5321;6195;6545;6237;6276;6260;6464;6055;5730;5557;5960;5855;5520;5646;6843;6020;6723;6080;5361;6247;6179;4950;5269;5168;5566;4983;5691;4657;5253;5628;5113;5323;4815;4672;4661;4567;5213;5596;5632;5830;6220;5613;6532;6946;7593;6518;5670;6151;6671;6110;6251;5894;5966;5711;6372;5873;1047147
"21 Maranhão";16112;18467;19835;21227;21321;22018;22003;21954;21944;22136;20780;20594;19433;20917;22008;22507;22406;22643;23249;23748;24730;24822;23462;23522;24949;23762;26410;25024;25681;25710;25690;24930;25320;26418;27466;25960;26508;26234;27087;26777;25656;25321;25935;26215;25628;26789;25536;26517;27798;27392;27713;28984;28496;27112;27926;26670;26260;25046;24603;23449;26383;26748;27950;28773;28621;28098;28903;28727;28510;29119;28676;27604;28276;27255;28048;28180;29740;28309;29227;28854;29763;28364;29193;28069;28430;28157;31055;30394;30965;30529;30323;29536;29508;29626;27882;28057;28490;28226;29557;29929;30330;29465;29392;29191;28827;27325;25969;22420;26025;30278;31292;30150;31059;31538;32797;30006;29431;28817;29242;30714;31788;29540;31947;32891;32828;32013;31776;31749;30624;30892;30357;29657;31906;28886;31982;32421;32738;31197;31216;31441;31234;31772;30123;29060;31170;29929;28765;24179;24567;22363;22633;20365;4155141
"22 Piauí";13652;16478;16082;16541;16655;16659;17446;16357;16811;17420;16166;15125;15668;15497;16518;17314;18040;18728;18090;17267;17205;16858;17207;17405;18660;16830;18427;17547;18245;17599;16965;16484;16085;16382;16251;16123;17076;16138;17870;17286;17154;15983;16997;16125;16675;16185;16150;16004;17086;15149;16694;16518;16953;16178;16144;16571;16203;15427;15039;13650;16141;15873;16533;17063;17556;16735;16914;17150;15704;16093;15190;14953;17057;15508;16305;16057;16334;15584;15082;15537;15863;15718;14639;13882;14973;14727;15650;16076;16640;15948;15526;15571;15314;15903;16216;15176;15914;15784;16562;16444;16049;16382;16161;16077;15895;15402;15270;15158;15582;14538;15310;15800;16555;15437;15337;15452;15549;14828;14403;15201;15670;15271;15935;16074;16161;16016;15592;15767;15132;15470;14887;15443;15320;14491;15497;15659;16096;16280;16035;15957;16179;16073;15415;15266;15734;15194;14118;11764;11408;12339;12098;12188;2424852
"23 Ceará";24835;33269;36178;37532;37388;36807;36058;34688;35212;32938;27042;30624;30480;30718;37442;35480;35849;34475;34341;34470;33528;33322;33301;31605;32194;32411;34448;34057;35207;33789;32732;33580;32409;31801;31781;30578;32554;33238;33903;33454;29929;31531;32283;30707;31099;31216;31569;30337;31362;29625;31740;30977;32178;31213;29329;29293;28578;27765;28337;27293;28038;28643;31579;33512;34315;32537;30650;31252;32336;33201;29483;29497;31198;30475;31375;31173;33422;31432;32855;31588;32223;30105;31020;30345;30741;29206;31760;33558;34520;33189;32236;32750;33169;32618;31478;30750;30850;31020;31924;33500;33729;33135;31976;32590;31739;31928;31420;30948;31181;30870;34326;33774;35126;33928;34362;33804;33323;33352;32495;31811;33961;33037;35981;36311;36463;35452;35539;36544;33988;34544;33281;32431;37418;35255;37231;37139;37845;35875;36845;36880;36906;36954;35220;34932;36284;34397;34660;30545;30306;32347;32156;28711;4978857
