 Mortalidade - Pernambuco
Óbitos p/Ocorrênc por Microrregião IBGE/Município
Período:2018
"Microrregião IBGE/Município";"Óbitos_p/Ocorrênc"
"26001 Araripina";1727
"..... Araripina";357
"..... Bodocó";107
"..... Exu";123
"..... Granito";25
"..... Ipubi";91
"..... Moreilândia";33
"..... Ouricuri";819
"..... Santa Cruz";44
"..... Santa Filomena";40
"..... Trindade";88
"26002 Salgueiro";933
"..... Cedro";35
"..... Mirandiba";45
"..... Parnamirim";69
"..... Salgueiro";596
"..... São José do Belmonte";124
"..... Serrita";37
"..... Verdejante";27
"26003 Pajeú";1980
"..... Afogados da Ingazeira";349
"..... Brejinho";28
"..... Calumbi";9
"..... Carnaíba";86
"..... Flores";81
"..... Iguaracy";45
"..... Ingazeira";14
"..... Itapetim";70
"..... Quixaba";21
"..... Santa Cruz da Baixa Verde";50
"..... Santa Terezinha";43
"..... São José do Egito";172
"..... Serra Talhada";734
"..... Solidão";23
"..... Tabira";128
"..... Triunfo";83
"..... Tuparetama";44
"26004 Sertão Moxotó";1405
"..... Arcoverde";859
"..... Betânia";55
"..... Custódia";180
"..... Ibimirim";81
"..... Inajá";45
"..... Manari";52
"..... Sertânia";133
"26005 Petrolina";2863
"..... Afrânio";87
"..... Cabrobó";131
"..... Dormentes";77
"..... Lagoa Grande";91
"..... Orocó";58
"..... Petrolina";2252
"..... Santa Maria da Boa Vista";146
"..... Terra Nova";21
"26006 Itaparica";513
"..... Belém do São Francisco";68
"..... Carnaubeira da Penha";28
"..... Floresta";137
"..... Itacuruba";15
"..... Jatobá";63
"..... Petrolândia";134
"..... Tacaratu";68
"26007 Vale do Ipanema";671
"..... Águas Belas";192
"..... Buíque";159
"..... Itaíba";94
"..... Pedra";79
"..... Tupanatinga";80
"..... Venturosa";67
"26008 Vale do Ipojuca";6502
"..... Alagoinha";59
"..... Belo Jardim";372
"..... Bezerros";430
"..... Brejo da Madre de Deus";174
"..... Cachoeirinha";95
"..... Capoeiras";86
"..... Caruaru";3840
"..... Gravatá";373
"..... Jataúba";83
"..... Pesqueira";311
"..... Poção";64
"..... Riacho das Almas";99
"..... Sanharó";87
"..... São Bento do Una";207
"..... São Caitano";178
"..... Tacaimbó";44
"26009 Alto Capibaribe";1170
"..... Casinhas";60
"..... Frei Miguelinho";62
"..... Santa Cruz do Capibaribe";343
"..... Santa Maria do Cambucá";55
"..... Surubim";333
"..... Taquaritinga do Norte";96
"..... Toritama";123
"..... Vertente do Lério";27
"..... Vertentes";71
"26010 M.Capibaribe";1429
"..... Bom Jardim";179
"..... Cumaru";55
"..... Feira Nova";84
"..... João Alfredo";119
"..... Limoeiro";633
"..... Machados";52
"..... Orobó";97
"..... Passira";108
"..... Salgadinho";22
"..... São Vicente Ferrer";80
"26011 Garanhuns";3043
"..... Angelim";40
"..... Bom Conselho";250
"..... Brejão";30
"..... Caetés";100
"..... Calçado";37
"..... Canhotinho";108
"..... Correntes";53
"..... Garanhuns";1622
"..... Iati";72
"..... Jucati";46
"..... Jupi";77
"..... Jurema";96
"..... Lagoa do Ouro";51
"..... Lajedo";184
"..... Palmeirina";27
"..... Paranatama";65
"..... Saloá";72
"..... São João";89
"..... Terezinha";24
"26012 Brejo PE";1024
"..... Agrestina";135
"..... Altinho";99
"..... Barra de Guabiraba";37
"..... Bonito";182
"..... Camocim de São Félix";64
"..... Cupira";135
"..... Ibirajuba";33
"..... Lagoa dos Gatos";64
"..... Panelas";121
"..... Sairé";41
"..... São Joaquim do Monte";113
"26013 Mata Set.PE";2126
"..... Aliança";103
"..... Buenos Aires";42
"..... Camutanga";48
"..... Carpina";273
"..... Condado";70
"..... Ferreiros";43
"..... Goiana";381
"..... Itambé";124
"..... Itaquitinga";51
"..... Lagoa de Itaenga";70
"..... Lagoa do Carro";56
"..... Macaparana";125
"..... Nazaré da Mata";180
"..... Paudalho";153
"..... Timbaúba";280
"..... Tracunhaém";41
"..... Vicência";86
"26014 Vitória S.Antão";1039
"..... Chã de Alegria";39
"..... Chã Grande";76
"..... Glória do Goitá";68
"..... Pombos";100
"..... Vitória de Santo Antão";756
"26015 Mata Merid.PE";2506
"..... Água Preta";64
"..... Amaraji";97
"..... Barreiros";192
"..... Belém de Maria";41
"..... Catende";131
"..... Cortês";44
"..... Escada";210
"..... Gameleira";79
"..... Jaqueira";43
"..... Joaquim Nabuco";42
"..... Maraial";29
"..... Palmares";891
"..... Primavera";36
"..... Quipapá";88
"..... Ribeirão";110
"..... Rio Formoso";65
"..... São Benedito do Sul";31
"..... São José da Coroa Grande";91
"..... Sirinhaém";104
"..... Tamandaré";71
"..... Xexéu";47
"26016 Itamaracá";640
"..... Araçoiaba";44
"..... Igarassu";466
"..... Ilha de Itamaracá";80
"..... Itapissuma";50
"26017 Recife";30994
"..... Abreu e Lima";196
"..... Camaragibe";302
"..... Jaboatão dos Guararapes";2693
"..... Moreno";132
"..... Olinda";1832
"..... Paulista";2361
"..... Recife";22987
"..... São Lourenço da Mata";491
"26018 Suape";1803
"..... Cabo de Santo Agostinho";1548
"..... Ipojuca";255
"26019 Fern.Noronha";3
"..... Fernando de Noronha";3
"26000 Ignorado - PE";1
"Total";62372
