 Coleta de lixo - Brasil
Domicílios por Unidade da Federação e Coleta de lixo
Período:2010
"Unidade da Federação";"Coletado por serviço de limpeza";"Coletado por caçamba de serviço de limpeza";"Queimado (na propriedade)";"Enterrado (na propriedade)";"Jogado em terreno baldio ou logradouro";"Jogado em rio, lago ou mar";"Outro destino";"Total"
"11 Rondônia";309035;21696;111547;6767;3195;272;3087;455599
"12 Acre";111936;30668;33933;2278;8261;1114;2455;190645
"13 Amazonas";570453;59602;142207;5367;13937;3920;4143;799629
"14 Roraima";86695;4651;18498;1449;2176;48;2327;115844
"15 Pará";1136674;174464;469017;17425;49259;4697;7629;1859165
"16 Amapá";126166;13573;14221;335;991;477;521;156284
"17 Tocantins";287698;18739;77149;3512;8800;92;2377;398367
"21 Maranhão";775080;148107;539086;21115;156963;3907;9443;1653701
"22 Piauí";463132;59341;240259;6114;75039;607;3771;848263
"23 Ceará";1442083;339915;403863;18502;151802;2929;6182;2365276
"24 Rio Grande do Norte";689748;70172;109609;5665;22319;470;1530;899513
"25 Paraíba";762746;76575;174146;3860;59281;1305;2759;1080672
"26 Pernambuco";1905858;172011;297134;6544;150024;5433;9868;2546872
"27 Alagoas";550266;122075;119885;3671;41329;2900;2758;842884
"28 Sergipe";446452;44374;79565;2447;15859;439;2179;591315
"29 Bahia";2502324;618145;712752;26263;210133;3609;21179;4094405
"31 Minas Gerais";5039259;243028;632670;21473;60377;2804;28612;6028223
"32 Espírito Santo";894330;77379;116666;2776;6646;303;3294;1101394
"33 Rio de Janeiro";4521369;557393;106909;2103;43916;2929;8392;5243011
"35 São Paulo";11993827;606017;172763;16639;14002;3116;20789;12827153
"41 Paraná";2875448;107111;254210;30848;6088;447;24426;3298578
"42 Santa Catarina";1776280;72911;107342;21881;2031;138;12514;1993097
"43 Rio Grande do Sul";3099838;214587;199971;53978;10178;674;20378;3599604
"50 Mato Grosso do Sul";645578;10851;81715;13703;2092;68;5292;759299
"51 Mato Grosso";721008;35237;113486;26515;8496;205;10142;915089
"52 Goiás";1617432;99454;142494;10334;6010;137;10403;1886264
"53 Distrito Federal";640869;116428;9552;483;5554;12;1123;774021
"Total";45991584;4114504;5480649;332047;1134758;43052;227573;57324167
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
