Pesquisa Nacional por Amostra de Domicílios - Suplemento Saúde - 2008
População residente por Unidade da Federação
Período:2008
"Unidade da Federação";"População_residente";"Informações Estatísticas"
"Rondônia";1518809;Erro=131.388
"Acre";691937;Erro=61.876
"Amazonas";3398611;Erro=286.069
"Roraima";421037;Erro=57.956
"Pará";7367487;Erro=1.258.188
"Amapá";625650;Erro=102.543
"Tocantins";1303010;Erro=106.578
"Maranhão";6400012;Erro=320.056
"Piauí";3164017;Erro=148.599
"Ceará";8472231;Erro=371.308
"Rio Grande do Norte";3153359;Erro=290.615
"Paraíba";3794080;Erro=159.641
"Pernambuco";8745133;Erro=207.136
"Alagoas";3173421;Erro=193.184
"Sergipe";2029721;Erro=139.810
"Bahia";14561086;Erro=587.370
"Minas Gerais";19903636;Erro=415.299
"Espírito Santo";3447503;Erro=211.587
"Rio de Janeiro";15684755;Erro=575.597
"São Paulo";40763872;Erro=904.793
"Paraná";10604819;Erro=379.146
"Santa Catarina";6091251;Erro=400.453
"Rio Grande do Sul";10860160;Erro=287.665
"Mato Grosso do Sul";2371865;Erro=206.775
"Mato Grosso";3009571;Erro=138.673
"Goiás";5869876;Erro=225.959
"Distrito Federal";2525886;Erro=141.791
"Total";189952795;Erro=2.101.314
 Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios - PNAD
 Notas:
 
 As informações sobre financiamento da última consulta ao dentista, última internação e últimos exames clínico de mamas, mamografia e
 preventivo de colo de útero (Papanicolau) só foram coletadas se o serviço foi realizado nos últimos 12 meses. Sobre o financiamento do último
 serviço de saúde, se este foi realizado nas duas últimas semanas.
 As informações de último exame clínico de mamas, última mamografia e último exame preventivo para câncer do colo do útero
 foram coletadas apenas para mulheres de 25 anos e mais.
 As informações sobre fumo só foram coletadas para as pessoas de 15 anos ou mais.
 As informações sobre cinto de segurança só foram aqui consideradas para pessoas que dirigem ou andam como passageiro, no banco da frente, de automóvel
 ou van.
 As informações sobre atividade física só foram coletadas para pessoas de 14 anos ou mais e que não têm dificuldade ou têm somente pequena dificuldade de alimentar-se,
 tomar banho ou ir ao banheiro, e não têm dificuldade ou conseguem, com pequena ou grande dificuldade, fazer compras de alimentos, roupas
 e medicamentos sem ajuda.
 As proporções são calculadas desconsiderando os casos sem declaração e os não aplicáveis.
 
