 Pesquisa Nacional de Saúde - 2013 - Módulo de Informações do Domicílio
Média moradores/domicílios por Unidade da Federação
Período:2013
"Unidade da Federação";"Média_moradores/domicílios";"Informações Estatísticas"
"11 Rondônia";3,2;IC=(3,1-3,2) CV=1,1%
"12 Acre";3,6;IC=(3,5-3,7) CV=1,5%
"13 Amazonas";3,9;IC=(3,8-4,0) CV=1,3%
"14 Roraima";3,7;IC=(3,6-3,8) CV=1,6%
"15 Pará";3,7;IC=(3,6-3,8) CV=1,6%
"16 Amapá";4,0;IC=(3,9-4,1) CV=1,6%
"17 Tocantins";3,3;IC=(3,2-3,4) CV=1,7%
"21 Maranhão";3,6;IC=(3,5-3,7) CV=1,6%
"22 Piauí";3,4;IC=(3,3-3,5) CV=1,4%
"23 Ceará";3,3;IC=(3,2-3,4) CV=1,3%
"24 Rio Grande do Norte";3,3;IC=(3,2-3,4) CV=1,3%
"25 Paraíba";3,1;IC=(3,0-3,2) CV=1,6%
"26 Pernambuco";3,2;IC=(3,1-3,3) CV=1,2%
"27 Alagoas";3,4;IC=(3,3-3,5) CV=1,6%
"28 Sergipe";3,2;IC=(3,1-3,3) CV=1,4%
"29 Bahia";3,2;IC=(3,1-3,2) CV=1,4%
"31 Minas Gerais";3,0;IC=(2,9-3,0) CV=1,5%
"32 Espírito Santo";3,0;IC=(2,9-3,1) CV=1,7%
"33 Rio de Janeiro";2,8;IC=(2,7-2,8) CV=1,2%
"35 São Paulo";3,0;IC=(3,0-3,1) CV=0,9%
"41 Paraná";3,0;IC=(2,9-3,1) CV=1,4%
"42 Santa Catarina";2,9;IC=(2,8-3,0) CV=1,8%
"43 Rio Grande do Sul";2,8;IC=(2,7-2,8) CV=1,4%
"50 Mato Grosso do Sul";3,0;IC=(2,9-3,1) CV=1,8%
"51 Mato Grosso";2,9;IC=(2,8-3,0) CV=1,5%
"52 Goiás";3,0;IC=(2,9-3,1) CV=1,3%
"53 Distrito Federal";3,1;IC=(3,0-3,2) CV=1,7%
"Total";3,1;IC=(3,1-3,1) CV=0,4%
 Fonte: IBGE - Pesquisa Nacional de Saúde - PNS 2013
 Notas:
 
 Por se tratar de uma pesquisa amostral, o valor do indicador pode não ter significância estatística quando desagregado para segmentos
 específicos que sejam pequenos em alguns estados e regiões.
 Consulte também o sítio da Pesquisa Nacional de Saúde.
 
