 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Caráter atendimento: Urgência
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";1174894,42;2674786,39;1437229,96;1430983,38;1553378,17;1322756,24;2776968,26;2959980,66;2885502,73;2721036,75;2515549,43;2645158,90;2681574,19;2530592,89;3344985,45;3171874,59;3354045,84;3308158,53;3376789,66;3042107,98;3170294,05;3422857,60;3447084,17;3362949,64;3248243,48;3175272,61;3412806,08;3728481,40;3978528,80;3776607,14;4194872,76;3993780,84;4485324,99;3896804,72;3815735,53;3529801,53;4002383,51;3392464,68;3715136,47;4457262,89;4206761,89;4074792,90;4030987,52;4770727,12;4994064,02;3612456,54;3926516,75;3087945,53;3607883,18;4002871,44;4301021,80;4027218,97;4073069,68;4571615,02;4152713,78;3621615,75;3515603,36;3425268,59;2994883,79;2769003,86;3797917,64;4185417,46;4702520,44;5110359,74;5015461,19;4475993,25;4861728,22;4972688,99;5013366,81;5102405,45;5403610,64;5092139,20;5093996,25;5186490,38;5578615,24;5563308,24;5899681,25;5935404,14;5590712,03;5831429,01;5241079,43;4889676,10;5019121,72;5807181,68;5729189,09;5311676,66;5833323,01;5894306,64;6364163,17;6022153,52;6986435,04;5492658,00;6063946,08;5560341,95;5058598,84;5536392,47;6072592,70;6368513,61;6072489,72;6756693,67;6537593,20;6710892,41;6445388,08;6694865,07;6570036,44;6044760,57;5534779,62;5762811,98;6645691,35;5512642,44;6613416,83;7292077,66;6479604,35;6506656,02;6954583,52;6278379,93;6174850,65;6450998,67;6207207,29;5938097,60;6586448,64;7348515,74;7014610,58;7187333,00;7085225,40;6503986,75;6731348,21;7479485,66;5703235,69;7109690,52;6564159,44;6820466,73;7624135,83;6701431,27;7453483,81;7568941,62;7806647,12;6234622,67;7838663,63;7208448,07;6957059,67;8307307,35;7948260,44;6601820,25;7705110,97;6060271,51;6768042,30;5952436,07;6473704,59;7377576,45;9615252,58;8820804,25;777889707,96
"12 Acre";456751,68;613655,07;956774,92;976180,53;918218,09;1099106,57;1312900,08;1110982,93;1262397,11;1032152,07;975385,62;1214955,06;1511664,22;1247318,85;1107887,98;1523245,32;1521625,84;1289254,80;1268071,74;1147839,04;-;1460266,74;1068940,32;1429560,82;1380044,33;952370,19;1432744,98;1422508,51;1431239,48;1234399,45;1028026,86;1308510,04;1339252,75;1270343,03;1311313,06;1256769,53;1388812,06;1354750,43;1261811,10;1380598,12;1535943,59;1404430,38;1630056,43;1562490,87;1440917,60;1553826,63;1665427,27;1508383,29;1440286,45;1104420,35;1587752,47;1726011,71;1632946,30;1804252,36;1715612,33;1753744,83;1389016,00;1764162,69;1895142,85;1809352,45;1635391,44;1793433,54;1738085,29;1931733,21;1532591,82;1322071,33;1602260,50;1577799,84;1451063,72;1658988,34;1626884,39;1752617,98;1857470,46;1556388,29;1692436,96;1568083,15;1863601,22;1648178,13;1681277,38;1752470,77;1570161,51;1672978,87;1562703,51;1552966,02;1749722,89;1633008,74;1764176,21;1712932,32;1654142,09;1762318,77;1435245,51;1736362,12;1701000,35;1641795,39;1481406,75;1568859,87;1537218,91;1941313,42;1738052,01;1619619,19;1823794,73;2093951,70;1625737,18;1752893,29;1626311,46;1652701,01;1429973,03;1793026,55;1586512,48;1682527,59;1717813,61;1364731,83;1763961,29;1439193,25;1489891,42;1750278,16;1480072,31;1638534,47;2162102,40;1380827,37;1884363,43;1223204,19;1417544,69;1541019,33;1214429,94;1594936,07;1592177,78;1877586,05;1652630,69;1849765,16;1692980,27;1180098,83;1519377,32;1212436,05;1833493,27;1405594,51;1637726,04;1976640,75;1647310,58;1814109,28;1475671,14;1806468,38;1471286,69;1422289,32;1804223,26;1922095,25;1688548,08;1407343,86;1537655,80;1832519,63;2592508,77;-;229444487,92
"13 Amazonas";3050952,62;4975768,98;5533057,64;5429586,93;5306025,97;5608979,22;5908765,55;6153175,76;6036510,52;5480817,83;4432569,34;5307190,48;4796350,05;4170251,22;6990263,17;6290767,08;6423070,76;5728877,36;5628972,66;6490600,00;6430164,48;6419702,78;5863507,22;5814581,27;6532572,89;6005485,32;6349682,59;6804217,31;6272348,81;7552330,28;6809800,07;5704777,93;5438936,97;6729696,34;6922776,36;6714544,33;6897119,75;6242297,04;6614779,50;7375409,65;7332660,92;7612700,45;8839913,35;6720990,02;6927611,76;6953027,99;6238638,77;8263330,11;7151925,96;7646457,93;7522263,28;7225200,47;7860891,98;7848778,17;8274660,95;7271779,60;7672246,76;7575050,84;7059046,88;6361369,05;7433637,51;6908851,97;6809118,73;7905356,98;7373020,38;8626683,39;7589345,82;8182333,36;7488730,48;7998581,35;7583099,16;7201921,75;7431540,67;6084521,06;6759677,88;6107344,70;7919344,00;6422059,97;6180135,55;6436199,48;7070608,04;7155749,24;7133708,10;6776255,81;7639404,44;7614223,22;7241851,33;8039847,18;8372550,84;8781479,34;9800799,89;8443777,40;8798762,46;8612722,67;8943499,23;7832849,93;7864282,11;8970546,18;8826281,39;8368472,09;9021691,07;8867242,80;8314908,63;9759415,10;9534902,42;7759453,46;7977222,38;7986092,20;9064794,00;7833806,44;10165448,01;9279947,34;9613372,60;9455727,84;9762689,99;9553001,61;9698106,80;10416538,54;9232429,02;8849992,00;9331190,14;9221847,38;10015387,44;10128568,73;10524924,38;9998196,64;10663000,16;10062703,34;10906206,53;11571942,38;10719657,13;9806233,08;11702384,05;10507813,90;11299711,54;10583548,43;11945859,25;10507465,56;11622412,21;11600331,67;12073503,78;11568082,33;11449121,58;10370315,47;11476165,43;10674895,57;11672524,53;10486989,28;16324614,18;17927973,73;15512452,92;11361433,61;1240089242,95
"14 Roraima";520461,70;613912,61;526263,73;591795,03;633024,00;597452,79;695388,06;662684,89;622031,20;844295,88;797475,98;997896,29;928339,01;815854,48;1179095,55;1080606,45;1286477,42;1246892,63;1145567,46;1511577,08;1414523,72;960434,44;1241122,26;1406223,78;1196045,88;1099532,84;1696782,27;1757140,01;1528566,63;1509414,98;1495068,57;1260996,88;1414705,69;1558809,64;1463829,45;993555,14;1005992,38;1030503,58;1180569,49;1158120,41;855167,56;967653,14;1147009,14;1319264,75;1474758,92;1204701,99;1465567,29;1671024,12;1284702,63;1675940,86;1732570,87;1760148,97;1853592,74;1656021,36;1466354,92;1599574,84;1457139,98;1323951,11;1413936,13;1392310,50;1411138,06;1450892,77;1739894,15;1746187,96;1818655,09;1937672,91;2079832,91;1837733,91;1536108,33;1630898,27;1556235,07;1366139,79;1738498,30;1575505,56;1613085,48;1428501,89;1669196,73;1495260,28;1632593,55;1638491,32;1505292,03;1482298,10;1629920,97;1033717,69;1611212,50;2142791,00;1786132,54;2059076,87;1763605,70;1456418,52;1770447,36;2441823,60;2222895,49;1966695,40;1882809,93;1783526,91;1652413,00;1536350,63;1864771,85;2475844,33;2239481,00;2369341,66;2924007,07;2373472,15;2408468,91;2449452,38;2185859,31;2173008,94;2165239,70;2125718,10;2315028,95;2428662,95;2150706,31;2452593,45;2369811,03;2641765,02;2626710,99;2411631,96;2375040,31;2517210,76;2801428,66;2748030,22;2580131,43;2531899,72;2451436,40;2843535,73;2739278,47;2620388,59;2536614,00;2812080,21;2639657,59;2859141,26;2412185,08;2431674,08;1806139,22;2229547,12;2281766,37;2704613,65;2866901,47;3576201,96;3071892,24;2894657,19;2873371,12;2653461,23;2821046,90;2586543,95;2647623,17;2669069,31;2586629,18;3247227,77;2709185,96;2540341,35;274837900,40
"15 Pará";14369065,09;15126749,66;19230142,02;18897980,48;21355156,42;21071888,63;21944672,69;21407869,94;22792390,39;21772001,30;19356923,86;21609989,34;22210634,60;21337759,20;23523009,65;23217145,57;23464998,41;22120742,56;24626367,04;23716002,13;24561597,10;24655057,69;22128250,09;23095078,76;22596828,54;23281113,07;23640684,69;22462082,02;23313274,70;23373549,37;23035053,55;23300151,44;23634004,25;23490442,10;23074351,20;22326454,16;23740626,38;23002376,37;23074501,00;24077113,46;21790421,12;24905407,86;21010167,60;21697796,28;23892352,14;23803599,22;22689040,63;22150817,53;24038107,00;23413253,31;24211416,24;24277719,72;24497266,09;23301208,10;23524424,37;18207560,78;23780623,28;23771554,37;22818391,15;23944096,79;22907118,89;24027790,26;24553891,36;24456463,89;25020675,14;25351386,37;24377061,62;23860804,39;24218377,26;24332353,62;24317816,37;24702891,34;23399160,32;23261335,48;25400619,12;25048638,01;25554326,82;26951100,24;25330126,71;25041773,97;25280870,01;26788613,12;25360237,39;25253225,39;25447610,06;25410480,87;25855624,06;26508642,97;26598409,49;26247606,07;27002249,89;27967660,03;26283025,83;25463812,21;25865911,39;24589794,33;25014396,90;26926628,72;25859850,98;27107648,68;26075140,98;27519099,88;26481156,48;26893454,05;27587429,31;28380428,57;26070272,76;25959753,62;27651403,36;27418346,13;28037666,06;28225852,95;27497960,10;28556570,56;28999375,78;28382210,95;30550264,66;29548309,35;28556447,13;28981440,10;28295658,87;27739483,20;28984970,52;30472280,58;30092637,38;31059526,79;29242850,17;30913650,52;29497533,18;30055940,81;28823010,80;29221321,79;29796319,77;28692989,71;28763696,12;31373121,40;31091142,44;29857507,23;24165275,55;25977279,30;29468627,82;29694345,15;31339952,99;30311545,58;30070443,25;32096172,75;30288529,21;25091526,91;30005012,92;38955653,40;35521788,01;36371110,87;3884388799,84
"16 Amapá";594277,83;816915,53;696599,04;668107,89;459903,78;898300,22;945470,29;876355,00;1037323,50;1228509,96;948343,30;982047,86;1201808,46;1248199,26;1150953,73;1391317,39;1227235,67;1145910,65;1139232,67;1110906,01;1190241,01;1162335,29;1165239,04;1199645,39;1337708,76;1148795,73;1078867,81;1102101,41;1126789,92;970175,72;996213,26;1094361,73;1301847,17;1242317,11;1212696,89;1311276,03;1176261,14;1038799,01;924758,24;1086339,52;1262345,05;1169789,75;1067818,44;1226405,84;1115429,62;1146461,15;1185716,97;1204435,06;1104387,83;1090234,03;1192551,16;1252502,15;1337021,03;1200016,62;1418282,15;1450113,81;1189249,76;1261902,80;1397298,29;1314456,77;1315284,77;1123629,61;1173768,88;1413423,82;1500845,16;1648728,09;1658943,03;1439199,25;1420727,80;1449716,11;1356394,56;1382709,27;1339648,52;1336268,87;1366790,61;1450449,01;1691107,19;1095306,76;1604152,39;1513395,53;1395318,86;1423698,88;1458343,76;1317306,26;1187201,79;1076683,47;1219146,79;1388316,97;1385660,30;1470255,86;1310783,65;1310527,12;1552255,08;1476066,74;1347182,75;1365658,54;1311801,13;1240026,80;1223800,75;1360785,78;1431108,80;1431373,80;1506243,05;1466646,63;1348279,65;1328293,38;1234028,33;1333192,93;1318608,19;1307097,81;1202386,76;1200665,06;1352368,59;1494868,08;1271498,27;1395679,00;1403051,87;1491122,53;1325874,13;1233323,76;1326356,37;1406852,06;1304854,37;1254439,11;1184958,01;1387012,30;1274614,22;1782791,24;2034279,22;1926649,65;1529167,59;1842032,76;1751727,82;1712913,65;1952746,24;2117884,44;1964352,07;1464107,09;1680016,79;2035173,81;1441707,04;1718818,60;1598113,84;1529549,95;1699823,70;1539214,52;1253008,98;1122394,72;1480027,80;1674420,27;2853095,07;2379321,21;202620352,14
"17 Tocantins";3032233,16;4303135,26;5390968,16;4445312,13;4778317,67;4314756,14;4724798,04;4783957,94;4962511,25;4052345,27;4550304,99;4854096,69;5197212,41;5268873,82;5557051,32;6144175,57;5869898,24;5800885,33;5722386,20;5844731,01;5988363,25;5813914,97;5531853,76;5462193,50;5779625,32;5791533,26;6013113,42;6296783,43;5917058,88;5869326,62;5766251,12;6111418,44;5660498,27;5943101,24;5707883,79;5645529,67;5954070,44;5768176,60;6442760,40;6474361,63;6536427,38;6464263,64;6356137,41;5501359,50;5935853,90;5869072,72;5796973,69;6323037,21;6622367,04;6259079,05;7174943,82;6455558,18;6316488,49;6997653,37;6280617,92;6391811,80;6241634,61;5923245,12;5306908,38;5543272,85;5656745,78;7032969,08;6872725,25;6637777,39;6795219,36;7010928,91;6053958,31;6494911,92;5934124,13;6862814,40;5759795,10;5802517,53;6297830,20;6394547,47;6371512,66;6049559,41;6254075,01;5947377,89;6211499,81;6913968,14;6808445,59;6802533,23;6337993,02;5324231,02;6241749,66;5747139,66;5798447,55;6249360,86;5412906,89;6344051,47;6132425,74;5469113,57;5018359,18;5499451,46;5588768,34;4684693,86;4818399,33;6315056,98;6680312,91;6050671,41;6059402,69;5627948,45;5864615,71;6004720,61;5758110,32;5024335,42;5856858,55;5450799,26;5479091,97;5418443,06;6319909,05;5262654,51;6220565,45;5616717,71;5006825,91;5814610,62;5292463,65;4277385,56;4496824,54;4317163,25;4734038,00;4552327,11;5094617,06;3973425,17;3842675,81;4749299,24;4249240,08;4698245,02;4294736,64;4319509,10;4087900,07;4366165,88;4925556,86;5129690,58;5758153,72;5784587,00;6254866,39;5301352,07;6230985,22;6825319,12;7376203,46;6117043,06;5468159,12;6100673,51;7207748,94;5937561,50;6490994,31;5863076,65;6169613,86;6831632,78;8675984,51;7855988,03;874948260,33
"21 Maranhão";7281390,75;8995422,18;9183552,43;9719294,55;9778942,37;9872479,41;10241768,76;10102551,44;10184755,45;10228443,62;9234381,23;10280302,92;9716605,46;11049496,83;11335343,08;11931225,04;11474818,72;11550760,39;11790721,84;12764608,52;13350235,70;12844710,88;12544444,08;12914906,54;13206526,46;12271800,20;14164890,96;13484064,45;13644343,47;13598764,74;13681191,28;13811642,88;13398457,97;14185918,49;14677801,96;13626441,92;14190641,92;14249213,31;14487504,33;14897502,52;14373316,28;13783006,33;14125416,40;14344478,98;14519816,31;15180316,57;14263144,50;14713686,70;15269499,26;15738351,60;15693468,26;17066345,59;17046144,49;16452350,06;17103163,75;15755934,27;15560322,30;15530762,48;15204807,50;14428848,96;16094281,83;16136829,15;16673011,85;17601866,30;18166721,05;17238090,18;17628128,17;17781256,37;17769494,55;18135857,82;17850306,51;17427461,69;17923513,39;16594043,28;17918888,53;17491349,97;17944164,19;18861109,73;18054252,17;18166026,23;18600669,89;18266348,50;18650198,50;17596993,82;17682857,30;17917467,76;19090119,80;19326055,14;19465151,09;19686780,39;19018749,71;18999353,91;19034411,21;18648500,91;17578759,89;17794376,59;17947797,17;17118329,16;18409536,97;18693490,55;19225007,69;19027057,59;19173299,11;18631835,02;18445807,04;17825698,33;17542265,45;13703718,35;17965379,56;19211781,04;19787969,26;19480342,94;19564481,62;19826043,85;20846124,58;19608100,91;18687166,15;19136858,12;17975598,52;20147060,30;20172384,99;18643770,98;21263188,84;20926863,93;20514770,25;20714786,69;20054691,99;20395773,22;19650734,66;20007468,15;19486919,22;19969432,92;21362398,12;18496023,57;21041553,15;21254664,98;22114976,83;20616345,30;21223598,97;21515438,58;20989014,26;22423198,40;21164021,94;19745539,72;21217761,03;20770606,57;20790832,75;18204022,04;22484307,99;23543776,94;23049367,06;19807621,33;2546511101,66
"22 Piauí";6570709,66;8334308,37;8534274,03;8852746,12;8411090,03;8783369,00;9190345,00;8521958,21;8916697,28;9518444,37;8258950,93;8719873,14;9038483,62;8728974,71;9623216,67;10349002,86;10903485,72;11006639,32;10806752,20;9902209,20;10095879,87;9449570,60;10061536,76;11036758,73;11504910,91;10090795,69;10978719,84;10786545,16;10876218,39;10279500,32;10073479,71;9913759,45;9633044,71;9596388,48;10012348,30;9144438,85;10040040,85;9291658,27;11105040,00;11026643,42;10729549,41;9930057,74;10685376,33;10101216,06;10074610,66;9987601,11;10005604,60;10279723,96;10689633,81;9506094,09;10637626,25;10135208,92;10675533,20;10269177,92;10769383,36;10784678,86;10605727,59;10094178,05;10269856,06;8341985,40;11806095,10;10342908,37;11044153,86;11581210,50;12054432,31;11407353,49;12347625,70;12058778,61;11130957,93;11279764,75;10875481,52;10068688,08;11678869,89;10851657,89;11456590,07;11645849,79;12072076,46;11297907,20;10874348,27;11952483,03;11994215,45;11642476,82;10892721,45;10263389,08;11158910,54;11741873,20;12289076,77;12138526,10;12467130,70;12326400,12;11951479,85;12247695,35;11459146,00;12595990,78;12330849,44;11990878,08;12365641,60;12092201,18;13236818,86;13245053,53;13102579,98;13267514,42;13348217,40;13126349,30;12772029,74;12654749,96;12720582,06;12797192,72;12587903,23;11913885,37;12569336,82;12866709,30;13406299,96;12996371,57;12560062,71;12629443,71;12711621,84;12336504,77;11513376,22;12309832,08;12446555,03;12505605,08;12900669,99;13102417,41;13220527,36;12644566,69;12827102,52;13368593,75;12372911,18;12866691,78;12277171,79;13584573,32;12817593,32;12014162,00;13143598,97;13677661,74;14381598,22;13755658,10;13985347,93;13856077,05;13998235,19;14122809,95;13487870,87;13314467,81;13527629,29;13623161,61;12055310,20;10856809,98;11209799,71;13371740,51;16845207,18;22027476,02;1745179504,56
"23 Ceará";12679214,17;20189995,85;23379305,56;24138716,91;24044774,10;25300446,88;23990878,45;21937180,02;23439580,83;21998147,34;17429812,88;24446383,93;22131767,40;24291215,55;28925620,15;26869770,57;28173348,18;26768559,21;26439047,76;26986198,81;26131992,38;25436698,11;25750277,75;24428447,77;24697782,30;25583371,32;27380772,40;27078623,08;27572333,92;26828660,53;25146424,14;27747132,73;26873932,03;24722706,97;25480150,10;24038214,95;25477629,55;25806686,28;26168751,70;25851571,69;23087748,26;24383499,85;24878325,90;24378419,86;25908417,89;26271651,39;25917469,35;26167951,43;26137941,66;25581646,21;27402721,07;26263338,56;27135705,60;26646083,93;26127953,76;26371341,95;25177050,46;24952975,42;24583210,27;24451148,73;25123172,28;25835196,77;28009108,31;29896408,96;30398668,12;27514851,47;27058571,37;28265845,10;29814293,18;29869604,55;27245941,06;27726267,69;29926868,96;28161335,96;28798096,06;28130765,14;31053178,55;28981342,06;31613460,06;28883546,34;30649565,66;28252061,49;28217896,33;28601201,75;29022867,41;27586400,07;29159653,48;31079096,48;32100531,18;32626968,63;32121808,93;32182030,93;31988730,08;32611336,74;32690556,73;31012009,44;31124384,77;31783933,89;30343835,77;32980125,24;32882267,51;34453593,47;32843845,60;34724778,04;33690689,80;33339904,72;31974551,91;32588799,31;31013971,34;32155755,42;35439432,80;34740518,30;36374944,83;35543126,63;35543703,40;36281843,24;36260761,28;36566324,85;35816629,87;34985750,76;36138723,85;35629568,15;37058478,93;36994736,88;37366346,08;35970632,57;36847146,00;38033523,23;35201718,29;35782677,81;35493518,53;33663859,35;37872747,48;36065084,71;37657090,74;37634891,66;39658922,50;37880017,17;39436763,29;39392419,44;39241641,73;40396865,16;38765727,93;38645084,35;39675476,96;39743053,86;36301594,87;36049687,45;39447039,16;48232174,08;47537496,91;51426609,77;4614490754,76
