date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-02-04,PR,Ponta Grossa,city,17745,308,True,355336,4119905,4993.86496,0.0174
2021-02-03,PR,Ponta Grossa,city,17606,307,False,355336,4119905,4954.74706,0.0174
2021-02-02,PR,Ponta Grossa,city,17499,302,False,355336,4119905,4924.63471,0.0173
2021-02-01,PR,Ponta Grossa,city,17234,298,False,355336,4119905,4850.05741,0.0173
2021-01-31,PR,Ponta Grossa,city,17166,298,False,355336,4119905,4830.92059,0.0174
2021-01-30,PR,Ponta Grossa,city,17110,297,False,355336,4119905,4815.16086,0.0174
2021-01-29,PR,Ponta Grossa,city,16978,292,False,355336,4119905,4778.01292,0.0172
2021-01-28,PR,Ponta Grossa,city,16763,289,False,355336,4119905,4717.50681,0.0172
2021-01-27,PR,Ponta Grossa,city,16482,267,False,355336,4119905,4638.42673,0.0162
2021-01-26,PR,Ponta Grossa,city,16319,265,False,355336,4119905,4592.55465,0.0162
2021-01-25,PR,Ponta Grossa,city,15934,262,False,355336,4119905,4484.2065,0.0164
2021-01-24,PR,Ponta Grossa,city,15896,260,False,355336,4119905,4473.51239,0.0164
2021-01-23,PR,Ponta Grossa,city,15821,259,False,355336,4119905,4452.40561,0.0164
2021-01-22,PR,Ponta Grossa,city,15577,258,False,355336,4119905,4383.73821,0.0166
2021-01-21,PR,Ponta Grossa,city,15336,256,False,355336,4119905,4315.91508,0.0167
2021-01-20,PR,Ponta Grossa,city,15207,244,False,355336,4119905,4279.61141,0.016
2021-01-19,PR,Ponta Grossa,city,15060,240,False,355336,4119905,4238.24211,0.0159
2021-01-18,PR,Ponta Grossa,city,14794,239,False,355336,4119905,4163.38339,0.0162
2021-01-17,PR,Ponta Grossa,city,14784,240,False,355336,4119905,4160.56915,0.0162
2021-01-16,PR,Ponta Grossa,city,14700,240,False,355336,4119905,4136.92955,0.0163
2021-01-15,PR,Ponta Grossa,city,14563,237,False,355336,4119905,4098.3745,0.0163
2021-01-14,PR,Ponta Grossa,city,14380,224,False,355336,4119905,4046.87394,0.0156
2021-01-13,PR,Ponta Grossa,city,14237,222,False,355336,4119905,4006.63034,0.0156
2021-01-12,PR,Ponta Grossa,city,14023,221,False,355336,4119905,3946.40566,0.0158
2021-01-11,PR,Ponta Grossa,city,13655,219,False,355336,4119905,3842.8417,0.016
2021-01-10,PR,Ponta Grossa,city,13574,219,False,355336,4119905,3820.04638,0.0161
2021-01-09,PR,Ponta Grossa,city,13444,216,False,355336,4119905,3783.46129,0.0161
2021-01-08,PR,Ponta Grossa,city,13312,211,False,355336,4119905,3746.31335,0.0159
2021-01-07,PR,Ponta Grossa,city,13087,210,False,355336,4119905,3682.993,0.016
2021-01-06,PR,Ponta Grossa,city,11957,207,False,355336,4119905,3364.98413,0.0173
2021-01-05,PR,Ponta Grossa,city,11765,205,False,355336,4119905,3310.95076,0.0174
2021-01-04,PR,Ponta Grossa,city,11590,202,False,355336,4119905,3261.7016,0.0174
2021-01-03,PR,Ponta Grossa,city,11571,194,False,355336,4119905,3256.35455,0.0168
2021-01-02,PR,Ponta Grossa,city,11530,194,False,355336,4119905,3244.81617,0.0168
2021-01-01,PR,Ponta Grossa,city,11496,194,False,355336,4119905,3235.24777,0.0169
2020-12-31,PR,Ponta Grossa,city,11427,194,False,355336,4119905,3215.82952,0.017
2020-12-30,PR,Ponta Grossa,city,11229,194,False,355336,4119905,3160.10762,0.0173
2020-12-29,PR,Ponta Grossa,city,11076,193,False,355336,4119905,3117.04978,0.0174
2020-12-28,PR,Ponta Grossa,city,10801,193,False,355336,4119905,3039.65824,0.0179
2020-12-27,PR,Ponta Grossa,city,10715,193,False,355336,4119905,3015.45579,0.018
2020-12-26,PR,Ponta Grossa,city,10697,193,False,355336,4119905,3010.39017,0.018
2020-12-25,PR,Ponta Grossa,city,10683,193,False,355336,4119905,3006.45023,0.0181
2020-12-24,PR,Ponta Grossa,city,10631,193,False,355336,4119905,2991.8162,0.0182
2020-12-23,PR,Ponta Grossa,city,10480,192,False,355336,4119905,2949.32121,0.0183
2020-12-22,PR,Ponta Grossa,city,10382,192,False,355336,4119905,2921.74168,0.0185
2020-12-21,PR,Ponta Grossa,city,10084,184,False,355336,4119905,2837.87739,0.0182
2020-12-20,PR,Ponta Grossa,city,9984,184,False,355336,4119905,2809.73501,0.0184
2020-12-19,PR,Ponta Grossa,city,9939,183,False,355336,4119905,2797.07094,0.0184
2020-12-18,PR,Ponta Grossa,city,9819,182,False,355336,4119905,2763.30009,0.0185
2020-12-17,PR,Ponta Grossa,city,9730,182,False,355336,4119905,2738.25337,0.0187
2020-12-16,PR,Ponta Grossa,city,9670,182,False,355336,4119905,2721.36794,0.0188
2020-12-15,PR,Ponta Grossa,city,9492,182,False,355336,4119905,2671.27451,0.0192
2020-12-14,PR,Ponta Grossa,city,9307,179,False,355336,4119905,2619.21111,0.0192
2020-12-13,PR,Ponta Grossa,city,9276,179,False,355336,4119905,2610.48698,0.0193
2020-12-12,PR,Ponta Grossa,city,9235,179,False,355336,4119905,2598.9486,0.0194
2020-12-11,PR,Ponta Grossa,city,9084,179,False,355336,4119905,2556.45361,0.0197
2020-12-10,PR,Ponta Grossa,city,8917,179,False,355336,4119905,2509.45584,0.0201
2020-12-09,PR,Ponta Grossa,city,8829,179,False,355336,4119905,2484.69055,0.0203
2020-12-08,PR,Ponta Grossa,city,8666,179,False,355336,4119905,2438.81847,0.0207
2020-12-07,PR,Ponta Grossa,city,8557,178,False,355336,4119905,2408.14328,0.0208
2020-12-06,PR,Ponta Grossa,city,8508,178,False,355336,4119905,2394.35351,0.0209
2020-12-05,PR,Ponta Grossa,city,8476,178,False,355336,4119905,2385.34795,0.021
2020-12-04,PR,Ponta Grossa,city,8388,173,False,355336,4119905,2360.58266,0.0206
2020-12-03,PR,Ponta Grossa,city,8282,173,False,355336,4119905,2330.75174,0.0209
2020-12-02,PR,Ponta Grossa,city,8175,176,False,355336,4119905,2300.63939,0.0215
