date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-02-05,RJ,Rio de Janeiro,city,191524,17627,True,6747815,3304557,2838.31136,0.092
2021-02-04,RJ,Rio de Janeiro,city,191038,17535,False,6747815,3304557,2831.10903,0.0918
2021-02-03,RJ,Rio de Janeiro,city,190327,17429,False,6747815,3304557,2820.57229,0.0916
2021-02-02,RJ,Rio de Janeiro,city,189679,17352,False,6747815,3304557,2810.96918,0.0915
2021-02-01,RJ,Rio de Janeiro,city,189110,17254,False,6747815,3304557,2802.53682,0.0912
2021-01-31,RJ,Rio de Janeiro,city,188999,17221,False,6747815,3304557,2800.89184,0.0911
2021-01-30,RJ,Rio de Janeiro,city,188833,17216,False,6747815,3304557,2798.43179,0.0912
2021-01-29,RJ,Rio de Janeiro,city,188127,17114,False,6747815,3304557,2787.96914,0.091
2021-01-28,RJ,Rio de Janeiro,city,187339,17017,False,6747815,3304557,2776.29129,0.0908
2021-01-27,RJ,Rio de Janeiro,city,186345,16924,False,6747815,3304557,2761.56059,0.0908
2021-01-26,RJ,Rio de Janeiro,city,185560,16838,False,6747815,3304557,2749.9272,0.0907
2021-01-25,RJ,Rio de Janeiro,city,184676,16707,False,6747815,3304557,2736.82666,0.0905
2021-01-24,RJ,Rio de Janeiro,city,184545,16687,False,6747815,3304557,2734.88529,0.0904
2021-01-23,RJ,Rio de Janeiro,city,184293,16685,False,6747815,3304557,2731.15075,0.0905
2021-01-22,RJ,Rio de Janeiro,city,183195,16608,False,6747815,3304557,2714.87882,0.0907
2021-01-21,RJ,Rio de Janeiro,city,182713,16543,False,6747815,3304557,2707.73576,0.0905
2021-01-20,RJ,Rio de Janeiro,city,182032,16399,False,6747815,3304557,2697.64361,0.0901
2021-01-19,RJ,Rio de Janeiro,city,180984,16320,False,6747815,3304557,2682.11265,0.0902
2021-01-18,RJ,Rio de Janeiro,city,179955,16127,False,6747815,3304557,2666.86327,0.0896
2021-01-17,RJ,Rio de Janeiro,city,179788,16119,False,6747815,3304557,2664.3884,0.0897
2021-01-16,RJ,Rio de Janeiro,city,179478,16101,False,6747815,3304557,2659.79432,0.0897
2021-01-13,RJ,Rio de Janeiro,city,176421,15794,False,6747815,3304557,2614.49076,0.0895
2021-01-12,RJ,Rio de Janeiro,city,175452,15664,False,6747815,3304557,2600.13056,0.0893
2021-01-11,RJ,Rio de Janeiro,city,174347,15533,False,6747815,3304557,2583.75489,0.0891
2021-01-10,RJ,Rio de Janeiro,city,174154,15532,False,6747815,3304557,2580.8947,0.0892
2021-01-09,RJ,Rio de Janeiro,city,173291,15527,False,6747815,3304557,2568.10538,0.0896
2021-01-08,RJ,Rio de Janeiro,city,172999,15423,False,6747815,3304557,2563.77805,0.0892
2021-01-07,RJ,Rio de Janeiro,city,171843,15312,False,6747815,3304557,2546.64658,0.0891
2021-01-06,RJ,Rio de Janeiro,city,170636,15180,False,6747815,3304557,2528.75931,0.089
2021-01-05,RJ,Rio de Janeiro,city,169372,15077,False,6747815,3304557,2510.02732,0.089
2021-01-04,RJ,Rio de Janeiro,city,167858,14915,False,6747815,3304557,2487.59043,0.0889
2021-01-03,RJ,Rio de Janeiro,city,165189,14913,False,6747815,3304557,2448.03688,0.0903
2021-01-02,RJ,Rio de Janeiro,city,165163,14906,False,6747815,3304557,2447.65157,0.0903
2021-01-01,RJ,Rio de Janeiro,city,165158,14905,False,6747815,3304557,2447.57748,0.0902
2020-12-31,RJ,Rio de Janeiro,city,165079,14860,False,6747815,3304557,2446.40673,0.09
2020-12-30,RJ,Rio de Janeiro,city,164782,14743,False,6747815,3304557,2442.0053,0.0895
2020-12-29,RJ,Rio de Janeiro,city,162772,14633,False,6747815,3304557,2412.21788,0.0899
2020-12-28,RJ,Rio de Janeiro,city,161191,14548,False,6747815,3304557,2388.78807,0.0903
2020-12-27,RJ,Rio de Janeiro,city,161003,14532,False,6747815,3304557,2386.00199,0.0903
2020-12-26,RJ,Rio de Janeiro,city,160542,14526,False,6747815,3304557,2379.17015,0.0905
2020-12-25,RJ,Rio de Janeiro,city,160369,14523,False,6747815,3304557,2376.60635,0.0906
2020-12-24,RJ,Rio de Janeiro,city,159865,14481,False,6747815,3304557,2369.13727,0.0906
2020-12-23,RJ,Rio de Janeiro,city,158481,14397,False,6747815,3304557,2348.62693,0.0908
2020-12-22,RJ,Rio de Janeiro,city,157693,14380,False,6747815,3304557,2336.94907,0.0912
2020-12-21,RJ,Rio de Janeiro,city,156818,14296,False,6747815,3304557,2323.98191,0.0912
2020-12-20,RJ,Rio de Janeiro,city,156583,14293,False,6747815,3304557,2320.4993,0.0913
2020-12-19,RJ,Rio de Janeiro,city,156389,14293,False,6747815,3304557,2317.6243,0.0914
2020-12-18,RJ,Rio de Janeiro,city,155434,14237,False,6747815,3304557,2303.47157,0.0916
2020-12-17,RJ,Rio de Janeiro,city,154183,14177,False,6747815,3304557,2284.93223,0.0919
2020-12-16,RJ,Rio de Janeiro,city,153027,14151,False,6747815,3304557,2267.80076,0.0925
2020-12-15,RJ,Rio de Janeiro,city,151893,14015,False,6747815,3304557,2250.99532,0.0923
2020-12-14,RJ,Rio de Janeiro,city,151531,13923,False,6747815,3304557,2245.63062,0.0919
2020-12-13,RJ,Rio de Janeiro,city,151341,13922,False,6747815,3304557,2242.8149,0.092
2020-12-12,RJ,Rio de Janeiro,city,151210,13918,False,6747815,3304557,2240.87353,0.092
2020-12-11,RJ,Rio de Janeiro,city,150072,13882,False,6747815,3304557,2224.00881,0.0925
2020-12-10,RJ,Rio de Janeiro,city,148684,13844,False,6747815,3304557,2203.43919,0.0931
2020-12-09,RJ,Rio de Janeiro,city,147217,13772,False,6747815,3304557,2181.69882,0.0935
2020-12-08,RJ,Rio de Janeiro,city,145763,13676,False,6747815,3304557,2160.1511,0.0938
2020-12-07,RJ,Rio de Janeiro,city,144641,13594,False,6747815,3304557,2143.5235,0.094
2020-12-06,RJ,Rio de Janeiro,city,144493,13581,False,6747815,3304557,2141.33019,0.094
2020-12-05,RJ,Rio de Janeiro,city,144199,13570,False,6747815,3304557,2136.97323,0.0941
2020-12-04,RJ,Rio de Janeiro,city,143192,13532,False,6747815,3304557,2122.04988,0.0945
2020-12-03,RJ,Rio de Janeiro,city,142231,13465,False,6747815,3304557,2107.80823,0.0947
2020-12-02,RJ,Rio de Janeiro,city,140864,13405,False,6747815,3304557,2087.54982,0.0952
2020-12-01,RJ,Rio de Janeiro,city,139497,13358,False,6747815,3304557,2067.29141,0.0958
2020-11-30,RJ,Rio de Janeiro,city,137860,13295,False,6747815,3304557,2043.03171,0.0964
2020-11-29,RJ,Rio de Janeiro,city,137643,13267,False,6747815,3304557,2039.81585,0.0964
2020-11-28,RJ,Rio de Janeiro,city,137193,13261,False,6747815,3304557,2033.14703,0.0967
2020-11-27,RJ,Rio de Janeiro,city,135093,13226,False,6747815,3304557,2002.02584,0.0979
2020-11-26,RJ,Rio de Janeiro,city,134674,13192,False,6747815,3304557,1995.81642,0.098
2020-11-25,RJ,Rio de Janeiro,city,133836,13115,False,6747815,3304557,1983.39759,0.098
2020-11-24,RJ,Rio de Janeiro,city,132349,13064,False,6747815,3304557,1961.36083,0.0987
2020-11-23,RJ,Rio de Janeiro,city,131433,12979,False,6747815,3304557,1947.78606,0.0987
2020-11-22,RJ,Rio de Janeiro,city,131241,12935,False,6747815,3304557,1944.9407,0.0986
2020-11-21,RJ,Rio de Janeiro,city,130949,12935,False,6747815,3304557,1940.61337,0.0988
2020-11-20,RJ,Rio de Janeiro,city,130635,12923,False,6747815,3304557,1935.96001,0.0989
2020-11-19,RJ,Rio de Janeiro,city,129631,12844,False,6747815,3304557,1921.08112,0.0991
2020-11-18,RJ,Rio de Janeiro,city,128834,12793,False,6747815,3304557,1909.26989,0.0993
2020-11-17,RJ,Rio de Janeiro,city,127921,12653,False,6747815,3304557,1895.73958,0.0989
2020-11-16,RJ,Rio de Janeiro,city,126824,12512,False,6747815,3304557,1879.48247,0.0987
2020-11-15,RJ,Rio de Janeiro,city,126691,12510,False,6747815,3304557,1877.51146,0.0987
2020-11-14,RJ,Rio de Janeiro,city,126423,12506,False,6747815,3304557,1873.53981,0.0989
2020-11-13,RJ,Rio de Janeiro,city,125463,12419,False,6747815,3304557,1859.31298,0.099
2020-11-12,RJ,Rio de Janeiro,city,124912,12419,False,6747815,3304557,1851.14737,0.0994
2020-11-11,RJ,Rio de Janeiro,city,123874,12322,False,6747815,3304557,1835.76461,0.0995
2020-11-10,RJ,Rio de Janeiro,city,123281,12312,False,6747815,3304557,1826.97658,0.0999
2020-11-09,RJ,Rio de Janeiro,city,122527,12312,False,6747815,3304557,1815.8026,0.1005
2020-11-08,RJ,Rio de Janeiro,city,122295,12312,False,6747815,3304557,1812.36445,0.1007
2020-11-07,RJ,Rio de Janeiro,city,122157,12312,False,6747815,3304557,1810.31934,0.1008
2020-11-06,RJ,Rio de Janeiro,city,121698,12268,False,6747815,3304557,1803.51714,0.1008
2020-11-05,RJ,Rio de Janeiro,city,120802,12268,False,6747815,3304557,1790.23877,0.1016
2020-11-04,RJ,Rio de Janeiro,city,120432,12219,False,6747815,3304557,1784.75551,0.1015
2020-11-03,RJ,Rio de Janeiro,city,119826,12148,False,6747815,3304557,1775.77482,0.1014
