,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
0,08/10/2020,DRS 01 Grande São Paulo,2036.86,4829.86,42.17,21138247.0,22.85,4121.0,4093.0,0.68
1,08/10/2020,DRS 02 Araçatuba,58.71,118.57,49.52,764041.0,15.52,126.0,131.0,-3.82
2,08/10/2020,DRS 03 Araraquara,45.14,123.29,36.61,991435.0,12.44,248.0,222.0,11.71
3,08/10/2020,DRS 04 Baixada Santista,108.14,409.14,26.43,1831884.0,22.33,205.0,189.0,8.47
4,08/10/2020,DRS 05 Barretos,55.57,91.86,60.49,425090.0,21.61,192.0,150.0,28.0
5,08/10/2020,DRS 06 Bauru,148.57,227.57,65.29,1741281.0,13.07,379.0,308.0,23.05
6,08/10/2020,DRS 07 Campinas,277.57,718.71,38.62,4562125.0,15.75,597.0,490.0,21.84
7,08/10/2020,DRS 08 Franca,61.0,110.0,55.45,696336.0,15.8,119.0,133.0,-10.53
8,08/10/2020,DRS 09 Marília,65.86,160.0,41.16,1109670.0,14.42,184.0,153.0,20.26
9,08/10/2020,DRS 10 Piracicaba,89.86,244.86,36.7,1539600.0,15.9,185.0,174.0,6.32
10,08/10/2020,DRS 11 Presidente Prudente,49.43,77.43,63.84,752260.0,10.29,171.0,158.0,8.23
11,08/10/2020,DRS 12 Registro,11.29,39.0,28.95,278754.0,13.99,35.0,45.0,-22.22
12,08/10/2020,DRS 13 Ribeirão Preto,169.14,308.29,54.86,1477530.0,20.87,428.0,369.0,15.99
13,08/10/2020,DRS 14 São João da Boa Vista,55.43,124.71,44.45,809836.0,15.4,142.0,135.0,5.19
14,08/10/2020,DRS 15 São José do Rio Preto,266.29,445.29,59.8,1570421.0,28.35,685.0,574.0,19.34
15,08/10/2020,DRS 16 Sorocaba,113.14,240.57,47.03,2461760.0,9.77,260.0,272.0,-4.41
16,08/10/2020,DRS 17 Taubaté,157.0,434.86,36.1,2489629.0,17.47,368.0,368.0,0.0
17,08/10/2020,Estado de São Paulo,3769.0,8704.0,43.3,44639899.0,19.5,8445.0,7964.0,6.04
18,09/10/2020,DRS 01 Grande São Paulo,2027.43,4822.29,42.04,21138247.0,22.81,4146.0,4130.0,0.39
19,09/10/2020,DRS 02 Araçatuba,58.86,119.43,49.28,764041.0,15.63,127.0,123.0,3.25
20,09/10/2020,DRS 03 Araraquara,45.14,123.14,36.66,991435.0,12.42,259.0,217.0,19.35
21,09/10/2020,DRS 04 Baixada Santista,107.0,412.29,25.95,1831884.0,22.51,206.0,190.0,8.42
22,09/10/2020,DRS 05 Barretos,56.14,91.57,61.31,425090.0,21.54,180.0,163.0,10.43
23,09/10/2020,DRS 06 Bauru,150.57,227.57,66.16,1741281.0,13.07,377.0,311.0,21.22
24,09/10/2020,DRS 07 Campinas,271.57,697.14,38.95,4562125.0,15.28,579.0,522.0,10.92
25,09/10/2020,DRS 08 Franca,59.57,110.0,54.15,696336.0,15.8,117.0,140.0,-16.43
26,09/10/2020,DRS 09 Marília,66.0,160.0,41.25,1109670.0,14.42,195.0,157.0,24.2
27,09/10/2020,DRS 10 Piracicaba,87.71,244.57,35.86,1539600.0,15.89,192.0,171.0,12.28
28,09/10/2020,DRS 11 Presidente Prudente,48.86,77.86,62.75,752260.0,10.35,176.0,160.0,10.0
29,09/10/2020,DRS 12 Registro,11.29,39.0,28.95,278754.0,13.99,31.0,47.0,-34.04
30,09/10/2020,DRS 13 Ribeirão Preto,165.29,308.43,53.59,1477530.0,20.87,450.0,358.0,25.7
31,09/10/2020,DRS 14 São João da Boa Vista,55.86,126.29,44.23,809836.0,15.59,149.0,124.0,20.16
32,09/10/2020,DRS 15 São José do Rio Preto,265.29,445.0,59.62,1570421.0,28.34,703.0,600.0,17.17
33,09/10/2020,DRS 16 Sorocaba,111.43,238.0,46.82,2461760.0,9.67,270.0,264.0,2.27
34,09/10/2020,DRS 17 Taubaté,152.57,434.43,35.12,2489629.0,17.45,348.0,380.0,-8.42
35,09/10/2020,Estado de São Paulo,3740.57,8677.0,43.11,44639899.0,19.44,8505.0,8057.0,5.56
36,10/10/2020,DRS 01 Grande São Paulo,2022.0,4812.57,42.01,21138247.0,22.77,4164.0,4111.0,1.29
37,10/10/2020,DRS 02 Araçatuba,59.86,119.43,50.12,764041.0,15.63,146.0,113.0,29.2
38,10/10/2020,DRS 03 Araraquara,45.14,123.0,36.7,991435.0,12.41,265.0,215.0,23.26
39,10/10/2020,DRS 04 Baixada Santista,106.29,412.29,25.78,1831884.0,22.51,188.0,208.0,-9.62
40,10/10/2020,DRS 05 Barretos,56.86,91.29,62.29,425090.0,21.48,177.0,163.0,8.59
41,10/10/2020,DRS 06 Bauru,152.14,227.71,66.81,1741281.0,13.08,369.0,333.0,10.81
42,10/10/2020,DRS 07 Campinas,267.57,679.29,39.39,4562125.0,14.89,562.0,536.0,4.85
43,10/10/2020,DRS 08 Franca,57.29,110.0,52.08,696336.0,15.8,125.0,133.0,-6.02
44,10/10/2020,DRS 09 Marília,66.57,159.29,41.79,1109670.0,14.35,204.0,156.0,30.77
45,10/10/2020,DRS 10 Piracicaba,84.71,243.71,34.76,1539600.0,15.83,188.0,179.0,5.03
46,10/10/2020,DRS 11 Presidente Prudente,48.43,77.86,62.2,752260.0,10.35,178.0,156.0,14.1
47,10/10/2020,DRS 12 Registro,11.14,39.0,28.56,278754.0,13.99,32.0,44.0,-27.27
