datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
08/10/2020;DRS 01 Grande São Paulo;2036.86;4829.86;42.17;21138247.0;22.85;4121.0;4093.0;0.68
09/10/2020;DRS 01 Grande São Paulo;2027.43;4822.29;42.04;21138247.0;22.81;4146.0;4130.0;0.39
10/10/2020;DRS 01 Grande São Paulo;2022.0;4812.57;42.01;21138247.0;22.77;4164.0;4111.0;1.29
11/10/2020;DRS 01 Grande São Paulo;2007.0;4781.86;41.97;21138247.0;22.62;4110.0;4084.0;0.64
12/10/2020;DRS 01 Grande São Paulo;1990.29;4748.71;41.91;21138247.0;22.47;4034.0;4106.0;-1.75
13/10/2020;DRS 01 Grande São Paulo;1972.86;4732.57;41.69;21138247.0;22.39;3870.0;4205.0;-7.97
14/10/2020;DRS 01 Grande São Paulo;1949.29;4715.57;41.34;21138247.0;22.31;3702.0;4113.0;-9.99
15/10/2020;DRS 01 Grande São Paulo;1935.14;4709.57;41.09;21138247.0;22.28;3620.0;4121.0;-12.16
16/10/2020;DRS 01 Grande São Paulo;1908.14;4682.14;40.75;21138247.0;22.15;3565.0;4146.0;-14.01
17/10/2020;DRS 01 Grande São Paulo;1886.14;4631.29;40.73;21138247.0;21.91;3494.0;4164.0;-16.09
18/10/2020;DRS 01 Grande São Paulo;1874.29;4588.71;40.85;21138247.0;21.71;3494.0;4110.0;-14.99
19/10/2020;DRS 01 Grande São Paulo;1857.86;4548.29;40.85;21138247.0;21.52;3498.0;4034.0;-13.29
20/10/2020;DRS 01 Grande São Paulo;1822.0;4501.14;40.48;21138247.0;21.29;3498.0;3870.0;-9.61
21/10/2020;DRS 01 Grande São Paulo;1792.57;4454.71;40.24;21138247.0;21.07;3617.0;3702.0;-2.3
22/10/2020;DRS 01 Grande São Paulo;1763.29;4390.14;40.16;21138247.0;20.77;3635.0;3620.0;0.41
23/10/2020;DRS 01 Grande São Paulo;1747.71;4344.71;40.23;21138247.0;20.55;3586.0;3565.0;0.59
24/10/2020;DRS 01 Grande São Paulo;1731.43;4332.43;39.96;21138247.0;20.5;3613.0;3494.0;3.41
25/10/2020;DRS 01 Grande São Paulo;1720.14;4316.29;39.85;21138247.0;20.42;3627.0;3494.0;3.81
26/10/2020;DRS 01 Grande São Paulo;1708.43;4292.71;39.8;21138247.0;20.31;3627.0;3498.0;3.69
27/10/2020;DRS 01 Grande São Paulo;1712.57;4280.86;40.01;21138247.0;20.25;3648.0;3498.0;4.29
28/10/2020;DRS 01 Grande São Paulo;1717.0;4272.14;40.19;21138247.0;20.21;3724.0;3617.0;2.96
29/10/2020;DRS 01 Grande São Paulo;1723.86;4262.57;40.44;21138247.0;20.17;3747.0;3635.0;3.08
30/10/2020;DRS 01 Grande São Paulo;1722.57;4225.57;40.77;21138247.0;19.99;3807.0;3586.0;6.16
31/10/2020;DRS 01 Grande São Paulo;1727.57;4194.43;41.19;21138247.0;19.84;3819.0;3613.0;5.7
01/11/2020;DRS 01 Grande São Paulo;1728.43;4174.57;41.4;21138247.0;19.75;3817.0;3627.0;5.24
02/11/2020;DRS 01 Grande São Paulo;1735.29;4147.71;41.84;21138247.0;19.62;3763.0;3627.0;3.75
03/11/2020;DRS 01 Grande São Paulo;1735.0;4119.14;42.12;21138247.0;19.49;3740.0;3648.0;2.52
04/11/2020;DRS 01 Grande São Paulo;1738.57;4086.86;42.54;21138247.0;19.33;3563.0;3724.0;-4.32
05/11/2020;DRS 01 Grande São Paulo;1745.86;4060.86;42.99;21138247.0;19.21;3488.0;3747.0;-6.91
06/11/2020;DRS 01 Grande São Paulo;1768.14;4076.71;43.37;21138247.0;19.29;3403.0;3807.0;-10.61
07/11/2020;DRS 01 Grande São Paulo;1783.86;4070.0;43.83;21138247.0;19.25;3415.0;3819.0;-10.58
08/11/2020;DRS 01 Grande São Paulo;1783.14;4062.71;43.89;21138247.0;19.22;3438.0;3817.0;-9.93
09/11/2020;DRS 01 Grande São Paulo;1798.29;4067.71;44.21;21138247.0;19.24;3512.0;3763.0;-6.67
10/11/2020;DRS 01 Grande São Paulo;1814.14;4062.86;44.65;21138247.0;19.22;3618.0;3740.0;-3.26
11/11/2020;DRS 01 Grande São Paulo;1826.86;4063.57;44.96;21138247.0;19.22;3803.0;3563.0;6.74
12/11/2020;DRS 01 Grande São Paulo;1841.29;4066.0;45.29;21138247.0;19.24;3925.0;3488.0;12.53
13/11/2020;DRS 01 Grande São Paulo;1856.43;4056.43;45.77;21138247.0;19.19;4055.0;3403.0;19.16
14/11/2020;DRS 01 Grande São Paulo;1879.0;4059.29;46.29;21138247.0;19.2;4132.0;3415.0;21.0
15/11/2020;DRS 01 Grande São Paulo;1919.0;4051.43;47.37;21138247.0;19.17;4235.0;3438.0;23.18
16/11/2020;DRS 01 Grande São Paulo;1949.71;4043.14;48.22;21138247.0;19.13;4346.0;3512.0;23.75
17/11/2020;DRS 01 Grande São Paulo;1985.86;4040.43;49.15;21138247.0;19.11;4465.0;3618.0;23.41
18/11/2020;DRS 01 Grande São Paulo;2037.86;4040.57;50.43;21138247.0;19.11;4614.0;3803.0;21.33
19/11/2020;DRS 01 Grande São Paulo;2092.14;4036.57;51.83;21138247.0;19.1;4743.0;3925.0;20.84
20/11/2020;DRS 01 Grande São Paulo;2147.57;4038.0;53.18;21138247.0;19.1;4863.0;4055.0;19.93
21/11/2020;DRS 01 Grande São Paulo;2194.29;4044.86;54.25;21138247.0;19.14;4888.0;4132.0;18.3
22/11/2020;DRS 01 Grande São Paulo;2246.86;4065.71;55.26;21138247.0;19.23;4964.0;4235.0;17.21
23/11/2020;DRS 01 Grande São Paulo;2286.14;4078.0;56.06;21138247.0;19.29;4949.0;4346.0;13.87
24/11/2020;DRS 01 Grande São Paulo;2331.0;4107.86;56.74;21138247.0;19.43;4928.0;4465.0;10.37
25/11/2020;DRS 01 Grande São Paulo;2371.71;4143.43;57.24;21138247.0;19.6;4939.0;4614.0;7.04
26/11/2020;DRS 01 Grande São Paulo;2401.86;4172.14;57.57;21138247.0;19.74;4879.0;4743.0;2.87
27/11/2020;DRS 01 Grande São Paulo;2434.57;4199.43;57.97;21138247.0;19.87;4978.0;4863.0;2.36
28/11/2020;DRS 01 Grande São Paulo;2463.57;4210.14;58.52;21138247.0;19.92;5085.0;4888.0;4.03
29/11/2020;DRS 01 Grande São Paulo;2483.0;4220.29;58.83;21138247.0;19.97;5152.0;4964.0;3.79
30/11/2020;DRS 01 Grande São Paulo;2524.29;4235.14;59.6;21138247.0;20.04;5311.0;4949.0;7.31
01/12/2020;DRS 01 Grande São Paulo;2553.29;4249.71;60.08;21138247.0;20.1;5376.0;4928.0;9.09
02/12/2020;DRS 01 Grande São Paulo;2578.71;4251.57;60.65;21138247.0;20.11;5425.0;4939.0;9.84
03/12/2020;DRS 01 Grande São Paulo;2605.71;4256.86;61.21;21138247.0;20.14;5500.0;4879.0;12.73
04/12/2020;DRS 01 Grande São Paulo;2626.86;4269.86;61.52;21138247.0;20.2;5509.0;4978.0;10.67
05/12/2020;DRS 01 Grande São Paulo;2665.86;4286.57;62.19;21138247.0;20.28;5557.0;5085.0;9.28
06/12/2020;DRS 01 Grande São Paulo;2706.29;4297.57;62.97;21138247.0;20.33;5648.0;5152.0;9.63
07/12/2020;DRS 01 Grande São Paulo;2724.57;4305.0;63.29;21138247.0;20.37;5585.0;5311.0;5.16
08/12/2020;DRS 01 Grande São Paulo;2750.71;4302.43;63.93;21138247.0;20.35;5541.0;5376.0;3.07
09/12/2020;DRS 01 Grande São Paulo;2767.29;4309.43;64.21;21138247.0;20.39;5546.0;5425.0;2.23
10/12/2020;DRS 01 Grande São Paulo;2785.86;4330.14;64.34;21138247.0;20.48;5613.0;5500.0;2.05
11/12/2020;DRS 01 Grande São Paulo;2805.0;4326.29;64.84;21138247.0;20.47;5626.0;5509.0;2.12
12/12/2020;DRS 01 Grande São Paulo;2821.14;4334.14;65.09;21138247.0;20.5;5676.0;5557.0;2.14
13/12/2020;DRS 01 Grande São Paulo;2836.43;4330.71;65.5;21138247.0;20.49;5625.0;5648.0;-0.41
14/12/2020;DRS 01 Grande São Paulo;2853.29;4339.29;65.75;21138247.0;20.53;5670.0;5585.0;1.52
15/12/2020;DRS 01 Grande São Paulo;2868.57;4350.29;65.94;21138247.0;20.58;5721.0;5541.0;3.25
16/12/2020;DRS 01 Grande São Paulo;2886.0;4342.57;66.46;21138247.0;20.54;5655.0;5546.0;1.97
17/12/2020;DRS 01 Grande São Paulo;2906.0;4329.71;67.12;21138247.0;20.48;5621.0;5613.0;0.14
18/12/2020;DRS 01 Grande São Paulo;2921.14;4330.71;67.45;21138247.0;20.49;5578.0;5626.0;-0.85
19/12/2020;DRS 01 Grande São Paulo;2913.57;4326.86;67.34;21138247.0;20.47;5517.0;5676.0;-2.8
20/12/2020;DRS 01 Grande São Paulo;2903.86;4338.29;66.94;21138247.0;20.52;5459.0;5625.0;-2.95
21/12/2020;DRS 01 Grande São Paulo;2907.14;4340.71;66.97;21138247.0;20.53;5534.0;5670.0;-2.4
22/12/2020;DRS 01 Grande São Paulo;2904.29;4334.43;67.01;21138247.0;20.51;5577.0;5721.0;-2.52
23/12/2020;DRS 01 Grande São Paulo;2894.86;4335.71;66.77;21138247.0;20.51;5583.0;5655.0;-1.27
24/12/2020;DRS 01 Grande São Paulo;2882.86;4336.71;66.48;21138247.0;20.52;5506.0;5621.0;-2.05
25/12/2020;DRS 01 Grande São Paulo;2868.29;4341.71;66.06;21138247.0;20.54;5362.0;5578.0;-3.87
26/12/2020;DRS 01 Grande São Paulo;2846.57;4332.14;65.71;21138247.0;20.49;5087.0;5517.0;-7.79
27/12/2020;DRS 01 Grande São Paulo;2837.14;4321.86;65.65;21138247.0;20.45;4956.0;5459.0;-9.21
28/12/2020;DRS 01 Grande São Paulo;2826.57;4325.29;65.35;21138247.0;20.46;4835.0;5534.0;-12.63
29/12/2020;DRS 01 Grande São Paulo;2821.71;4326.14;65.22;21138247.0;20.47;4768.0;5577.0;-14.51
30/12/2020;DRS 01 Grande São Paulo;2814.29;4327.43;65.03;21138247.0;20.47;4748.0;5583.0;-14.96
31/12/2020;DRS 01 Grande São Paulo;2820.57;4345.71;64.9;21138247.0;20.56;4819.0;5506.0;-12.48
01/01/2021;DRS 01 Grande São Paulo;2815.86;4342.29;64.85;21138247.0;20.54;4841.0;5362.0;-9.72
02/01/2021;DRS 01 Grande São Paulo;2827.43;4352.0;64.97;21138247.0;20.59;4936.0;5087.0;-2.97
03/01/2021;DRS 01 Grande São Paulo;2838.86;4362.57;65.07;21138247.0;20.64;4916.0;4956.0;-0.81
04/01/2021;DRS 01 Grande São Paulo;2851.43;4365.29;65.32;21138247.0;20.65;4940.0;4835.0;2.17
05/01/2021;DRS 01 Grande São Paulo;2858.29;4387.71;65.14;21138247.0;20.76;4994.0;4768.0;4.74
06/01/2021;DRS 01 Grande São Paulo;2882.86;4410.71;65.36;21138247.0;20.87;5103.0;4748.0;7.48
07/01/2021;DRS 01 Grande São Paulo;2891.0;4411.86;65.53;21138247.0;20.87;5205.0;4819.0;8.01
08/01/2021;DRS 01 Grande São Paulo;2925.57;4426.57;66.09;21138247.0;20.94;5487.0;4841.0;13.34
09/01/2021;DRS 01 Grande São Paulo;2961.14;4456.86;66.44;21138247.0;21.08;5830.0;4936.0;18.11
10/01/2021;DRS 01 Grande São Paulo;2988.86;4493.43;66.52;21138247.0;21.26;6119.0;4916.0;24.47
11/01/2021;DRS 01 Grande São Paulo;3018.71;4520.29;66.78;21138247.0;21.38;6304.0;4940.0;27.61
12/01/2021;DRS 01 Grande São Paulo;3060.29;4519.43;67.71;21138247.0;21.38;6362.0;4994.0;27.39
13/01/2021;DRS 01 Grande São Paulo;3091.57;4528.14;68.27;21138247.0;21.42;6395.0;5103.0;25.32
14/01/2021;DRS 01 Grande São Paulo;3139.57;4549.29;69.01;21138247.0;21.52;6373.0;5205.0;22.44
15/01/2021;DRS 01 Grande São Paulo;3175.0;4574.57;69.41;21138247.0;21.64;6382.0;5487.0;16.31
16/01/2021;DRS 01 Grande São Paulo;3205.14;4578.29;70.01;21138247.0;21.66;6322.0;5830.0;8.44
17/01/2021;DRS 01 Grande São Paulo;3241.14;4569.0;70.94;21138247.0;21.61;6295.0;6119.0;2.88
18/01/2021;DRS 01 Grande São Paulo;3261.86;4572.29;71.34;21138247.0;21.63;6180.0;6304.0;-1.97
19/01/2021;DRS 01 Grande São Paulo;3279.86;4599.29;71.31;21138247.0;21.76;6172.0;6362.0;-2.99
20/01/2021;DRS 01 Grande São Paulo;3306.57;4622.86;71.53;21138247.0;21.87;6122.0;6395.0;-4.27
21/01/2021;DRS 01 Grande São Paulo;3320.43;4635.86;71.62;21138247.0;21.93;6098.0;6373.0;-4.32
22/01/2021;DRS 01 Grande São Paulo;3332.71;4646.57;71.72;21138247.0;21.98;5948.0;6382.0;-6.8
23/01/2021;DRS 01 Grande São Paulo;3347.86;4672.0;71.66;21138247.0;22.1;5889.0;6322.0;-6.85
24/01/2021;DRS 01 Grande São Paulo;3356.86;4703.71;71.37;21138247.0;22.25;5871.0;6295.0;-6.74
25/01/2021;DRS 01 Grande São Paulo;3359.14;4731.57;70.99;21138247.0;22.38;5804.0;6180.0;-6.08
26/01/2021;DRS 01 Grande São Paulo;3355.71;4748.57;70.67;21138247.0;22.46;5703.0;6172.0;-7.6
27/01/2021;DRS 01 Grande São Paulo;3331.0;4761.57;69.96;21138247.0;22.53;5549.0;6122.0;-9.36
28/01/2021;DRS 01 Grande São Paulo;3310.57;4770.86;69.39;21138247.0;22.57;5391.0;6098.0;-11.59
29/01/2021;DRS 01 Grande São Paulo;3291.0;4779.57;68.86;21138247.0;22.61;5299.0;5948.0;-10.91
30/01/2021;DRS 01 Grande São Paulo;3271.14;4782.86;68.39;21138247.0;22.63;5184.0;5889.0;-11.97
31/01/2021;DRS 01 Grande São Paulo;3248.0;4788.71;67.83;21138247.0;22.65;5101.0;5871.0;-13.12
01/02/2021;DRS 01 Grande São Paulo;3235.29;4802.57;67.37;21138247.0;22.72;5054.0;5804.0;-12.92
02/02/2021;DRS 01 Grande São Paulo;3215.86;4819.43;66.73;21138247.0;22.8;5035.0;5703.0;-11.71
03/02/2021;DRS 01 Grande São Paulo;3210.14;4816.29;66.65;21138247.0;22.78;5069.0;5549.0;-8.65
04/02/2021;DRS 01 Grande São Paulo;3189.86;4814.71;66.25;21138247.0;22.78;5077.0;5391.0;-5.82
05/02/2021;DRS 01 Grande São Paulo;3176.71;4811.57;66.02;21138247.0;22.76;5064.0;5299.0;-4.43
06/02/2021;DRS 01 Grande São Paulo;3164.71;4811.86;65.77;21138247.0;22.76;5017.0;5184.0;-3.22
07/02/2021;DRS 01 Grande São Paulo;3160.0;4811.86;65.67;21138247.0;22.76;4921.0;5101.0;-3.53
